Laurent,Léonard,M,Liège,,27/11/1974,PS,Député
Jean-Pierre,Lepine,M,Mons,,28/06/1959,PS,Député
Bénédicte,Linard,F,Enghien,Ottignies,22/08/1976,ECOLO,"Ministre de la Culture, de l'Enfance, des Droits des femmes, de la Santé et des Médias"
Julien,Liradelfo,M,Liège,,06/08/1985,PTB,Député
Eric,Lomba,M,Huy-Waremme,,09/03/1969,PS,Député
Jean-Charles,Luperto,M,Namur,Namur,17/11/1973,PS,Député
Pierre -Yves,Lux,M,Bruxelles,,24/11/1985,ECOLO,Député
Pierre-Yves,Lux,M,Bruxelles,,24/11/1985,ECOLO,Député
Jean-Claude,Marcourt,M,Liège,,16/10/1956,PS,Député
Olivier,Maroy,M,Nivelles,,07/06/1962,MR,Député
Julien,Matagne,M,Charleroi-Thuin,,23/12/1984,cdH,Député
Françoise,Mathieux,F,Dinant-Philippeville,,10/08/1964,MR,Député
Germain,Mugemangango,M,Charleroi-Thuin,,20/09/1973,PTB,Député
Samuel,Nemes,M,Verviers,Liège,01/09/1988,PTB,Député
Diana,Nikolic,F,Liège,,12/10/1978,MR,Député
Mohamed,Ouriaghli,M,Bruxelles,,21/11/1967,PS,Député
Amandine,Pavet,F,Charleroi-Thuin,,16/09/1988,PTB,Député
Sophie,Pécriaux,F,Soignies-La Louvière,Binche,18/02/1967,PS,Député
Sabine,Roberty,F,Liège,,13/01/1970,PS,Député
Hélène,Ryckmans,F,Nivelles,,20/05/1959,ECOLO,Député
Mourad,Sahli,M,Charleroi-Thuin,,15/06/1967,PS,Député
Françoise,Schepmans,F,Bruxelles,Berchem-Sainte-Agathe,18/06/1960,MR,Député
Marie-Martine,Schyns,F,Verviers,Verviers,19/05/1977,cdH,Député
Matteo,Segers,M,Bruxelles,,28/02/1975,ECOLO,Député
Rachel,Sobry,F,Charleroi-Thuin,,09/05/1993,MR,Député
Kalvin,Soiresse Njall,M,Bruxelles,,22/06/1982,ECOLO,Député
Nicolas,Tzanetatos,M,Charleroi-Thuin,,28/06/1981,MR,Député
Gaëtan,Van Goidsenhoven,M,Bruxelles,Uccle,02/10/1973,MR,Député
Luc,Vancauwenberge,M,Bruxelles,,19/06/1956,PTB,Député
Anouk,Vandevoorde,F,Namur,,27/02/1989,PTB,Député
Mathilde,Vandorpe,F,Tournai-Ath-Mouscron,Mouscron,19/12/1981,cdH,Député
Michaël,Vossaert,M,Bruxelles,,07/06/1986,DéFI,Député
Jean-Paul,Wahl,M,Nivelles,Uccle,17/11/1955,MR,Député
Thierry,Witsel,M,Liège,,28/05/1968,PS,Député
Frédéric,Botin,M,,,,MR,Député
Isabelle,Emmery,F,,,,PS,Député
Frédérick,Botin,M,,,,MR,Député
Michel,de Lamotte,M,,,,,
